Architecture,Encoding,Runs,Test_MAE_run1,Test_MAE_run2,Test_MAE_run3,Test_R2_run1,Test_R2_run2,Test_R2_run3,Selected_run,Reported_Val_MAE,Reported_Test_MAE,Reported_Test_RMSE,Reported_Test_R2
CNN‚BiLSTM + physchem,embedding,3,0.4603,0.5543,0.6443,0.7406,0.5296,0.3336,1,0.3774,0.4603,0.6677,0.7406
CNN,one-hot,3,0.5381,0.5381,0.5381,0.6187,0.6187,0.6187,1,0.469,0.5381,0.8342,0.6187
CNN + physchem,embedding,3,0.5397,0.5519,0.7605,0.6256,0.6341,0.2029,1,0.3524,0.5397,0.8022,0.6256
CNN‚BiLSTM,embedding,3,0.6096,0.5822,0.5417,0.4229,0.4613,0.5041,3,0.4024,0.5417,0.7734,0.5041
BiGRU + physchem,embedding,3,0.6425,0.5954,0.5623,0.4561,0.4147,0.5764,3,0.4316,0.5623,0.8533,0.5764
CNN,embedding,3,0.578,0.5783,0.5778,0.4359,0.4342,0.4345,3,0.4705,0.5778,0.755,0.4345
CNN + physchem,one-hot,3,0.5948,0.5948,0.5948,0.5669,0.5669,0.5669,1,0.4183,0.5948,0.8891,0.5669
BiGRU,embedding,3,0.5971,0.7352,0.7085,0.4068,0.1127,0.2361,1,0.4663,0.5971,0.8681,0.4068
BiLSTM,embedding,3,0.6738,0.728,0.6099,0.1121,-0.1342,0.4192,3,0.5132,0.6099,0.8482,0.4192
BiGRU,one-hot,3,0.6335,0.6335,0.6335,0.5522,0.5522,0.5522,1,0.3845,0.6335,0.904,0.5522
BiGRU + physchem,one-hot,3,0.6435,0.6435,0.6435,0.5425,0.5425,0.5425,1,0.7948,0.6435,0.9137,0.5425
BiLSTM + physchem,embedding,3,0.7376,0.9506,0.7519,0.3735,0.0882,0.3668,1,0.8665,0.7376,1.0377,0.3735
GRU,one-hot,3,0.8863,0.8863,0.8863,0.2153,0.2153,0.2153,1,0.8009,0.8863,1.1967,0.2153
RNN,embedding,3,1.1031,1.1203,1.0856,-40.6321,-48.5437,-28.9327,3,1.0181,1.0856,1.3735,-28.9327
RNN,one-hot,3,1.1077,1.1077,1.1077,-0.046,-0.046,-0.046,1,1.0307,1.1077,1.3817,-0.046
BiLSTM,one-hot,3,1.109,1.109,1.109,-0.0186,-0.0186,-0.0186,1,1.0475,1.109,1.3635,-0.0186
