Architecture,Encoding,Runs,Test_MAE_run1,Test_MAE_run2,Test_MAE_run3,Test_R2_run1,Test_R2_run2,Test_R2_run3,Selected_run,Reported_Val_MAE,Reported_Test_MAE,Reported_Test_RMSE,Reported_Test_R2,Identical_across_replicates
CNN–BiLSTM + physchem,embedding,3,0.4603,0.5543,0.6443,0.7406,0.5296,0.3336,1,0.3774,0.4603,0.6677,0.7406,no
CNN,one-hot,3,0.5363,0.5363,0.5363,0.5937,0.5937,0.5937,1,0.4723,0.5363,0.8357,0.5937,yes
CNN + physchem,embedding,3,0.5397,0.5519,0.7605,0.6256,0.6341,0.2029,1,0.3524,0.5397,0.8022,0.6256,no
BiGRU + physchem,embedding,3,0.6425,0.5954,0.5623,0.4561,0.4147,0.5764,3,0.4316,0.5623,0.8533,0.5764,no
CNN–BiLSTM,embedding,3,0.5951,0.5630,0.5750,0.5163,0.5810,0.5852,2,0.4410,0.5630,0.8487,0.5810,no
CNN + physchem,one-hot,3,0.5754,0.5754,0.5754,0.5512,0.5512,0.5512,1,0.4008,0.5754,0.8783,0.5512,yes
CNN,embedding,3,0.5780,0.5783,0.5778,0.6682,0.6678,0.6684,3,0.4705,0.5778,0.7550,0.6684,no
BiGRU,embedding,3,0.5971,0.7352,0.7085,0.5616,0.3688,0.4626,1,0.4663,0.5971,0.8681,0.5616,no
BiGRU + physchem,one-hot,3,0.6287,0.6287,0.6287,0.5180,0.5180,0.5180,1,0.7916,0.6287,0.9102,0.5180,yes
BiGRU,one-hot,3,0.6433,0.6433,0.6433,0.5063,0.5063,0.5063,1,0.3707,0.6433,0.9213,0.5063,yes
BiLSTM,embedding,3,0.7517,0.7229,0.6560,0.3742,0.3303,0.5258,3,0.5421,0.6560,0.9028,0.5258,no
BiLSTM + physchem,embedding,3,0.7376,0.9506,0.7519,0.3735,0.0882,0.3668,1,0.8665,0.7376,1.0377,0.3735,no
GRU,one-hot,3,0.8930,0.8930,0.8930,0.1472,0.1472,0.1472,1,0.8183,0.8930,1.2107,0.1472,yes
BiLSTM,one-hot,3,1.0656,1.0656,1.0656,-0.0252,-0.0252,-0.0252,1,1.0179,1.0656,1.3275,-0.0252,yes
RNN,embedding,3,1.1031,1.1203,1.0856,-0.1836,-0.2403,-0.0975,3,1.0181,1.0856,1.3735,-0.0975,no
RNN,one-hot,3,1.1016,1.1016,1.1016,-0.1201,-0.1201,-0.1201,1,1.0420,1.1016,1.3876,-0.1201,yes
