Rank,Model_Family,Hybrid,Model_Architecture,Encoding_Type,Train_MAE,Train_RMSE,Train_R2,Val_MAE,Val_RMSE,Val_R2,Test_MAE,Test_RMSE,Test_R2
1,cnn_bilstm_hybrid_physchem,yes,CNN_BiLSTM,embedding,0.1467784941196441,0.1914169152850124,0.9777067303657532,0.3774,0.5534316069829331,0.8131473064422607,0.4603,0.6677,0.7406
2,cnn_onehot,no,CNN,onehot,0.16601303219795227,0.20185053339047435,0.9752101898193359,0.4723404049873352,0.6215077825582245,0.7643516063690186,0.5362645387649536,0.8356721046769401,0.593734085559845
3,cnn_embedding_hybrid_physchem,yes,CNN,embedding,0.1632996201515197,0.2144401487305288,0.972021460533142,0.3524,0.5276056840077078,0.8301794528961182,0.5397,0.8022,0.6256
4,bigru_embedding_hybrid_physchem,yes,BiGRU,embedding,0.2431136667728424,0.3244147799654473,0.9359654784202576,0.4316,0.5851019942388352,0.7911499738693237,0.5623,0.8533,0.5764
5,cnn_bilstm_embedding,no,CNN_BiLSTM,embedding,0.2482886016368866,0.3468373329743742,0.9268078207969666,0.4410403072834015,0.6145904804611582,0.7695678472518921,0.5630495548248291,0.8486823274940944,0.5809856653213501
6,cnn_onehot_hybrid_physchem,yes,CNN,onehot,0.11324547976255417,0.14781883840096574,0.986705482006073,0.40080899000167847,0.5490748438047379,0.8160776495933533,0.5753857493400574,0.8783430880765538,0.5511854290962219
7,cnn_embedding,no,CNN,embedding,0.26756107807159424,0.3477791022643072,0.9264097809791565,0.4704858362674713,0.6209042337968429,0.7648090124130249,0.5778121948242188,0.7549811887608131,0.6684028506278992
8,bigru_embedding,no,BiGRU,embedding,0.10424874722957611,0.1421846879429516,0.9876996278762817,0.46634092926979065,0.7143231773770021,0.6887130737304688,0.5970551371574402,0.8681288412735545,0.56156325340271
9,bigru_onehot_hybrid_physchem,yes,BiGRU,onehot,0.5467271208763123,0.7810176503852636,0.6288626194000244,0.791595458984375,1.1485351728567936,0.19525188207626343,0.6287190318107605,0.9102307399670297,0.5180060863494873
10,bigru_onehot,no,BiGRU,onehot,0.1895526796579361,0.24182888367621322,0.9644180536270142,0.37067532539367676,0.48085028533649415,0.8589441776275635,0.6432987451553345,0.9212605319721576,0.5062540769577026
11,bilstm_embedding,no,BiLSTM,embedding,0.21955662965774536,0.347941817109351,0.9263409376144409,0.5420604944229126,0.7089367054448269,0.6933900117874146,0.6559531092643738,0.9028185631431892,0.5258240699768066
12,bilstm_embedding_hybrid_physchem,yes,BiLSTM,embedding,0.7666969299316406,1.007539165010093,0.3823580145835876,0.8665,1.1904043018115926,0.1355092525482177,0.7376,1.0377,0.3735
13,gru_onehot,no,GRU,onehot,0.6767802238464355,0.9403638331409309,0.4619719982147217,0.8182671070098877,1.0475036100266188,0.33060503005981445,0.893049955368042,1.2107188858076654,0.1472432017326355
14,bilstm_onehot,no,BiLSTM,onehot,1.0202507972717285,1.2701578794551744,0.018413782119750977,1.0179392099380493,1.303957432221768,-0.0372852087020874,1.0655782222747803,1.3275322432831838,-0.02524745464324951
15,rnn_embedding,no,RNN,embedding,1.0193204879760742,1.330045276745974,-0.07633113861083984,1.0181082487106323,1.340363204398989,-0.09601461887359619,1.0855965614318848,1.373528907346699,-0.09752440452575684
16,rnn_onehot,no,RNN,onehot,1.0398304462432861,1.3106071810768511,-0.04510068893432617,1.0420409440994263,1.3489619909209911,-0.1101222038269043,1.1016085147857666,1.3876130994460496,-0.12014782428741455
