Model_Family,Hybrid,Model_Architecture,Encoding_Type,Train_MAE,Train_RMSE,Train_R2,Val_MAE,Val_RMSE,Val_R2,Test_MAE,Test_RMSE,Test_R2
cnn_bilstm_hybrid_physchem,yes,CNN_BiLSTM,embedding,0.1468,0.1914,0.9777,0.3774,0.5534,0.8131,0.4603,0.6677,0.7406
cnn_onehot,no,CNN,onehot,0.166,0.2019,0.9752,0.4723,0.6215,0.7644,0.5363,0.8357,0.5937
cnn_embedding_hybrid_physchem,yes,CNN,embedding,0.1633,0.2144,0.972,0.3524,0.5276,0.8302,0.5397,0.8022,0.6256
cnn_bilstm_onehot,no,CNN_BiLSTM,onehot,0.2334,0.3335,0.9323,0.4741,0.64,0.7501,0.5464,0.8062,0.6219
bigru_embedding_hybrid_physchem,yes,BiGRU,embedding,0.2431,0.3244,0.936,0.4316,0.5851,0.7911,0.5623,0.8533,0.5764
cnn_bilstm_embedding,no,CNN_BiLSTM,embedding,0.2483,0.3468,0.9268,0.441,0.6146,0.7696,0.563,0.8487,0.581
cnn_onehot_hybrid_physchem,yes,CNN,onehot,0.1132,0.1478,0.9867,0.4008,0.5491,0.8161,0.5754,0.8783,0.5512
cnn_embedding,no,CNN,embedding,0.2676,0.3478,0.9264,0.4705,0.6209,0.7648,0.5778,0.755,0.6684
bigru_embedding,no,BiGRU,embedding,0.1042,0.1422,0.9877,0.4663,0.7143,0.6887,0.5971,0.8681,0.5616
bigru_onehot_hybrid_physchem,yes,BiGRU,onehot,0.5467,0.781,0.6289,0.7916,1.1485,0.1953,0.6287,0.9102,0.518
bigru_onehot,no,BiGRU,onehot,0.1896,0.2418,0.9644,0.3707,0.4809,0.8589,0.6433,0.9213,0.5063
bilstm_embedding,no,BiLSTM,embedding,0.2196,0.3479,0.9263,0.5421,0.7089,0.6934,0.656,0.9028,0.5258
bilstm_embedding_hybrid_physchem,yes,BiLSTM,embedding,0.7667,1.0075,0.3824,0.8665,1.1904,0.1355,0.7376,1.0377,0.3735
gru_onehot,no,GRU,onehot,0.6768,0.9404,0.462,0.8183,1.0475,0.3306,0.893,1.2107,0.1472
bilstm_onehot,no,BiLSTM,onehot,1.0203,1.2702,0.0184,1.0179,1.304,-0.0373,1.0656,1.3275,-0.0252
rnn_embedding,no,RNN,embedding,1.0193,1.33,-0.0763,1.0181,1.3404,-0.096,1.0856,1.3735,-0.0975
rnn_onehot,no,RNN,onehot,1.0398,1.3106,-0.0451,1.042,1.349,-0.1101,1.1016,1.3876,-0.1201
